_row,cell_id,new_split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,wcl_lat,wcl_lon
36879,26369025.0,val,-86.180625,-47.758872985839844,44.92358359909161,1800.0,Park,52.50664487811046,13.345645918028
36889,26369025.0,val,-91.27,-50.77729797363281,68.83556786555835,1800.0,Park,52.50664487811046,13.345645918028
36897,26369025.0,val,-93.649375,-53.018768310546875,92.570576226443,1800.0,Park,52.50664487811046,13.345645918028
36911,26369025.0,val,-89.163125,-56.167259216308594,140.69869173200928,1800.0,Park,52.50664487811046,13.345645918028
36932,26369025.0,val,-90.834375,-58.56067657470703,194.82314489776746,1800.0,Park,52.50664487811046,13.345645918028
52666,26369025.0,val,-90.7975,-52.91755676269531,91.34939457538444,1800.0,Park,52.50664487811046,13.345645918028
52677,26369025.0,val,-91.02375,-52.94013214111328,91.6198480574232,1800.0,Park,52.50664487811046,13.345645918028
52697,26369025.0,val,-90.7925,-52.940032958984375,91.6198480574232,1800.0,Park,52.50664487811046,13.345645918028
52700,26369025.0,val,-90.72375,-52.94013214111328,91.6198480574232,1800.0,Park,52.50664487811046,13.345645918028
52741,26369025.0,val,-81.38375,-47.57189178466797,43.644126693438125,1800.0,Park,52.50664487811046,13.345645918028
52753,26369025.0,val,-78.978125,-42.78614807128906,13.253264256618385,1800.0,Park,52.50664487811046,13.345645918028
52756,26369025.0,val,-79.34125,-41.91999053955078,3.902316717515721,1800.0,Park,52.50664487811046,13.345645918028
52776,26369025.0,val,-78.614375,-46.684303283691406,37.792153619746095,1800.0,Park,52.50664487811046,13.345645918028
52785,26369025.0,val,-85.111875,-48.1480712890625,47.64723288847938,1800.0,Park,52.50664487811046,13.345645918028
52801,26369025.0,val,-90.07125,-50.629241943359375,67.4822267490874,1800.0,Park,52.50664487811046,13.345645918028
52806,26369025.0,val,-92.2475,-52.06068420410156,81.60489585981107,1800.0,Park,52.50664487811046,13.345645918028
52849,26369025.0,val,-92.195625,-57.909088134765625,178.22729352365005,1800.0,Park,52.50664487811046,13.345645918028
71633,26369025.0,val,-89.370625,-52.92656707763672,91.45649497091463,1800.0,Park,52.50664487811046,13.345645918028
71678,26369025.0,val,-85.4425,-50.69678497314453,68.09827630816697,1800.0,Park,52.50664487811046,13.345645918028
71712,26369025.0,val,-83.0475,-50.44982147216797,65.8738079663044,1800.0,Park,52.50664487811046,13.345645918028
71740,26369025.0,val,-80.945,-47.336952209472656,42.061011616277746,1800.0,Park,52.50664487811046,13.345645918028
71747,26369025.0,val,-80.346875,-44.60676574707031,25.03648871939814,1800.0,Park,52.50664487811046,13.345645918028
71761,26369025.0,val,-78.0125,-41.975746154785156,4.974862771362495,1800.0,Park,52.50664487811046,13.345645918028
71788,26369025.0,val,-92.008125,-51.3302001953125,74.0966666979796,1800.0,Park,52.50664487811046,13.345645918028
84084,26369025.0,val,-98.8131443298969,-56.188690185546875,141.1245939327078,1800.0,Park,52.50664487811046,13.345645918028
84094,26369025.0,val,-94.91,-55.133277893066406,122.48510858917014,1800.0,Park,52.50664487811046,13.345645918028
84126,26369025.0,val,-81.958125,-48.409149169921875,49.52307944197306,1800.0,Park,52.50664487811046,13.345645918028
84146,26369025.0,val,-78.785625,-42.51385498046875,11.05318170694013,1800.0,Park,52.50664487811046,13.345645918028
84171,26369025.0,val,-89.328125,-48.27687072753906,48.56779396927136,1800.0,Park,52.50664487811046,13.345645918028
84183,26369025.0,val,-93.725625,-51.56938171386719,76.48319504701301,1800.0,Park,52.50664487811046,13.345645918028
84187,26369025.0,val,-94.626875,-52.37077331542969,85.00900796271878,1800.0,Park,52.50664487811046,13.345645918028
84197,26369025.0,val,-92.01625,-54.264610290527344,109.11704404635881,1800.0,Park,52.50664487811046,13.345645918028
84227,26369025.0,val,-92.530625,-57.97294616699219,179.8310116969215,1800.0,Park,52.50664487811046,13.345645918028
95810,26369025.0,val,-86.030625,-51.669281005859375,77.49920540119071,1800.0,Park,52.50664487811046,13.345645918028
