cell_id,n_train,n_val,scatter_s,wcl_lat,wcl_lon,refined_lat,refined_lon,delta_m,dx_m,dy_m,n_nm_evals,wcl_opt_mae,refined_opt_mae,wcl_val_mae,refined_val_mae,val_mae_gain,wcl_spearman,refined_spearman,wcl_alpha,refined_alpha
34006272.0,59,6,0.4,52.51486766385448,13.356526230404464,52.514993769549214,13.356219597686398,25.074395113311546,-20.7763671875,14.0380859375,25,1.9316601529823298,1.4606037149627604,3.0025704111948763,1.9779388747283733,1.024631536466503,0.2,0.8857142857142858,1.4241176596517284,1.4063300669964838
34006273.0,143,15,0.4,52.5148054465075,13.355453658950365,52.51487058284026,13.355615803160859,13.16343673894057,10.986328125,7.2509765625,16,2.305318562705233,2.1474621502410076,2.2984514495488972,2.499360764091611,-0.20090931454271388,0.8321428571428571,0.7999999999999999,0.8792993393669407,0.8368442206687217
34006528.0,155,17,0.4,52.51548986933558,13.366436313995028,52.515782873175866,13.365950602004483,46.33529221672796,-32.91015625,32.6171875,27,2.054508219778834,1.8489580396419152,3.022500389441443,3.0169647879310646,0.005535601510378463,0.8455882352941178,0.8480392156862745,1.4699912380754943,1.9917276762347016
34006529.0,187,20,0.4,52.515442147526954,13.365510512823933,52.515418338223505,13.365375617848814,9.51655198990039,-9.1400146484375,-2.65045166015625,21,4.671418713240268,4.5262520831065185,3.6301571067939795,3.7709309371302533,-0.14077383033627378,0.9684210526315788,0.9533834586466164,1.378845534765656,1.4692341369260118
34006785.0,76,23,0.4,52.51584924546196,13.372259167944948,52.515845846091054,13.37220818259876,3.475254112667666,-3.45458984375,-0.37841796875,22,5.480238875828687,5.400927700010464,3.5818351455727804,3.544898608974192,0.03693653659858853,0.6463615659977031,0.6681545996405376,1.6292580873570206,1.7133085116655962
34007040.0,65,6,0.4,52.516003805842466,13.374829339727011,52.51645296142996,13.374829339727011,50.0,0.0,50.0,18,68.15427840573405,4.630699533948857,70.99636077566045,5.681039756199752,65.3153210194607,0.942857142857143,0.0,2.0,-74.19438370986052
34007041.0,130,8,0.4,52.515975405136736,13.374334518739419,52.516021899758094,13.375185595684274,57.897824394450225,57.666015625,5.17578125,16,4.3809347824237435,3.9858069362878235,6.985989220284011,7.067556131199962,-0.08156691091595114,0.4047619047619048,0.4047619047619048,0.481764436170985,0.5899350915951761
34210561.0,196,9,0.4,52.49449415781739,13.286629331107546,52.494448540453035,13.286753281348457,9.81433166125087,8.3984375,-5.078125,20,4.48967620626047,4.2565003710831135,5.557408176924024,4.801735918613569,0.7556722583104545,0.5,0.5333333333333333,1.6316337650291852,2.0
34210562.0,455,38,0.4,52.49731568158187,13.283090900403831,52.49768149775371,13.283670295715993,56.56421637697123,39.2578125,40.72265625,17,3.5065854697335124,3.1756391389449403,2.683109877403213,2.257955590135994,0.4251542872672194,0.9531677426414268,0.965422912791334,1.1294979838815191,1.4944792672846896
40782336.0,983,63,0.4,52.48844278914731,13.301962177278527,52.4888974275911,13.301324590210822,66.54101553363269,-43.20068359375,50.6103515625,41,4.267355129059595,3.278259255412742,4.878615711279167,4.448319446787616,0.4302962644915507,0.4707033315705975,0.7439795918367346,0.19786365143897436,0.36346534729082
40812800.0,926,80,0.4,52.506461019017586,13.28301760230103,52.505620723315744,13.285810750267053,211.10928118547548,189.25399780273438,-93.54171752929688,37,4.588428031461808,4.056918147807721,4.530161694843433,3.3988255681620068,1.1313361266814264,0.37580872011251765,0.5013830285982185,0.19357102453388897,0.9109437419689058
