event_idx,from_cell,to_cell,dur_s,pA_from,pA_to,pB_from,pB_to,correct_A,correct_B,hda_correct,flip_correct,margin_A_dB,margin_B_dB
81,28792066.0,26947072.0,12.0,-270.0,-270.0,-270.0,-270.0,False,False,False,False,0.0,0.0
82,34768897.0,28792066.0,29.0,-91.35444641113281,-270.0,-94.83123016357422,-270.0,True,False,False,False,178.6455535888672,-175.16876983642578
83,28792066.0,26947072.0,46.0,-83.73255920410156,-77.80931091308594,-270.0,-74.73876190185547,False,True,False,True,-5.923248291015625,195.26123809814453
84,28792066.0,26947072.0,31.0,-270.0,-57.682281494140625,-270.0,-57.31987762451172,False,True,False,True,-212.31771850585938,212.68012237548828
85,26366722.0,26917120.0,13.0,-60.73924255371094,-86.42533874511719,-60.24684143066406,-85.11437225341797,True,False,False,False,25.68609619140625,-24.867530822753906
86,26917120.0,40782336.0,125.0,-63.81043243408203,-84.408447265625,-63.73863983154297,-84.75894165039062,True,False,False,False,20.59801483154297,-21.020301818847656
87,40782336.0,26947073.0,16.0,-270.0,-50.084747314453125,-270.0,-49.87635803222656,False,True,False,True,-219.91525268554688,220.12364196777344
88,26947073.0,26947074.0,54.0,-54.275604248046875,-87.8987045288086,-55.63426208496094,-83.97469329833984,True,False,False,False,33.62310028076172,-28.340431213378906
89,34210561.0,34210562.0,34.0,-50.707130432128906,-66.38212585449219,-52.371742248535156,-66.1427001953125,True,False,False,False,15.674995422363281,-13.770957946777344
90,34210562.0,26347520.0,19.0,-59.79541778564453,-59.62963104248047,-60.31724548339844,-58.88044738769531,False,True,False,True,-0.1657867431640625,1.436798095703125
91,30625794.0,40812800.0,50.0,-47.389610290527344,-65.95223236083984,-48.57892608642578,-65.64559173583984,True,False,False,False,18.5626220703125,-17.066665649414062
92,40812800.0,26356993.0,91.0,-63.83927917480469,-69.76104736328125,-64.20571899414062,-69.60844421386719,True,False,False,False,5.9217681884765625,-5.4027252197265625
93,26356993.0,26353920.0,78.0,-69.98381805419922,-56.423561096191406,-70.02830505371094,-56.235496520996094,False,True,False,True,-13.560256958007812,13.792808532714844
94,26353920.0,26365186.0,42.0,-53.22193908691406,-64.25491333007812,-53.812034606933594,-64.06615447998047,True,False,False,False,11.032974243164062,-10.254119873046875
95,26365186.0,26365185.0,49.0,-60.498931884765625,-63.411170959472656,-60.74871063232422,-63.337486267089844,True,False,False,False,2.9122390747070312,-2.588775634765625
96,26365185.0,26363650.0,45.0,-65.80316162109375,-55.953102111816406,-65.95179748535156,-55.18982696533203,False,True,False,True,-9.850059509277344,10.761970520019531
97,26363650.0,26363649.0,10.0,-58.14823913574219,-51.85810089111328,-58.56440734863281,-52.07000732421875,False,True,False,True,-6.290138244628906,6.4944000244140625
98,26363649.0,29127682.0,92.0,-56.64405059814453,-57.513160705566406,-57.035186767578125,-57.17768859863281,True,False,False,False,0.869110107421875,-0.1425018310546875
99,29127680.0,29127681.0,48.0,-65.22943115234375,-61.527854919433594,-65.32820129394531,-61.25813293457031,False,True,False,True,-3.7015762329101562,4.070068359375
100,29127681.0,26357760.0,26.0,-63.60575866699219,-43.94013214111328,-63.773651123046875,-42.518890380859375,False,True,False,True,-19.665626525878906,21.2547607421875
101,26357760.0,26367489.0,20.0,-47.860801696777344,-60.42705535888672,-48.632118225097656,-60.474632263183594,True,False,False,False,12.566253662109375,-11.842514038085938
102,26367489.0,33802242.0,88.0,-63.48051452636719,-61.0546875,-63.66148376464844,-60.82274627685547,False,True,False,True,-2.4258270263671875,2.8387374877929688
103,33802242.0,33802241.0,30.0,-63.69160461425781,-58.34611511230469,-63.89659118652344,-57.938629150390625,False,True,False,True,-5.345489501953125,5.9579620361328125
104,33802241.0,30829824.0,61.0,-61.390533447265625,-58.314453125,-61.70936584472656,-57.776397705078125,False,True,False,True,-3.076080322265625,3.9329681396484375
105,30829824.0,30829312.0,74.0,-54.12360382080078,-54.0147705078125,-54.550689697265625,-53.58403015136719,False,True,False,True,-0.10883331298828125,0.9666595458984375
106,30829312.0,34006273.0,13.0,-58.410560607910156,-55.99549865722656,-58.60444641113281,-55.73762512207031,False,True,False,True,-2.4150619506835938,2.8668212890625
107,30828801.0,30828800.0,10.0,-52.559059143066406,-47.682151794433594,-53.622283935546875,-49.063232421875,False,True,False,True,-4.8769073486328125,4.559051513671875
108,30828800.0,34006529.0,16.0,-58.25072479248047,-59.53120422363281,-58.83189392089844,-58.99037170410156,True,False,False,False,1.2804794311523438,-0.158477783203125
109,34006529.0,34006528.0,16.0,-44.12481689453125,-43.77525329589844,-45.683250427246094,-45.597007751464844,False,True,False,True,-0.3495635986328125,0.08624267578125
110,30828289.0,30828288.0,19.0,-46.28407287597656,-50.90028381347656,-47.76055145263672,-49.962799072265625,True,False,False,False,4.6162109375,-2.2022476196289062
111,30828288.0,34006785.0,164.0,-47.665504455566406,-46.017730712890625,-47.84907531738281,-45.520599365234375,False,True,False,True,-1.6477737426757812,2.3284759521484375
112,34006785.0,34006784.0,70.0,-43.51701354980469,-44.726043701171875,-43.60344696044922,-44.62120819091797,True,False,False,False,1.2090301513671875,-1.01776123046875
113,34006784.0,34007041.0,83.0,-48.89971923828125,-50.78033447265625,-49.29631042480469,-50.57513427734375,True,False,False,False,1.880615234375,-1.2788238525390625
114,34007041.0,34007040.0,12.0,-49.05089569091797,-43.29175567626953,-49.15937042236328,-42.80626678466797,False,True,False,True,-5.7591400146484375,6.3531036376953125
115,34007040.0,30827265.0,151.0,-44.9984130859375,-46.51771545410156,-45.18872833251953,-46.33137512207031,True,False,False,False,1.5193023681640625,-1.1426467895507812
116,30827265.0,30827264.0,264.0,-46.353965759277344,-50.65135192871094,-46.81672668457031,-50.414947509765625,True,False,False,False,4.297386169433594,-3.5982208251953125
117,30827264.0,26681600.0,39.0,-58.59486389160156,-43.15434265136719,-58.59486389160156,-43.15434265136719,False,True,False,True,-15.440521240234375,15.440521240234375
118,26681600.0,26607105.0,135.0,-42.787689208984375,-56.28929138183594,-43.33396911621094,-56.03739929199219,True,False,False,False,13.501602172851562,-12.70343017578125
119,26607105.0,26722816.0,48.0,-63.901512145996094,-59.933380126953125,-64.12884521484375,-59.577796936035156,False,True,False,True,-3.9681320190429688,4.551048278808594
120,26722816.0,26349056.0,10.0,-59.53437042236328,-47.58613586425781,-59.86683654785156,-48.71022033691406,False,True,False,True,-11.948234558105469,11.1566162109375
121,26349056.0,26349058.0,68.0,-54.26774597167969,-64.91419982910156,-54.85194396972656,-64.72950744628906,True,False,False,False,10.646453857421875,-9.8775634765625
122,26349058.0,26369024.0,122.0,-65.18218231201172,-65.47904205322266,-65.40666198730469,-65.25856018066406,True,True,True,False,0.2968597412109375,0.148101806640625
123,26369024.0,26369025.0,42.0,-63.44712829589844,-55.559120178222656,-63.63709259033203,-54.99835968017578,False,True,False,True,-7.888008117675781,8.63873291015625
124,26369025.0,26358784.0,121.0,-59.005096435546875,-56.339759826660156,-59.314605712890625,-55.87457275390625,False,True,False,True,-2.6653366088867188,3.440032958984375
125,26358784.0,26358785.0,100.0,-55.42998504638672,-52.17376708984375,-55.88671875,-52.14668273925781,False,True,False,True,-3.2562179565429688,3.7400360107421875
126,26720002.0,26795520.0,70.0,-56.20436096191406,-54.26319122314453,-56.66050720214844,-53.71735382080078,False,True,False,True,-1.9411697387695312,2.9431533813476562
127,26795520.0,26367744.0,96.0,-55.03273010253906,-53.36082458496094,-55.60584259033203,-52.56346893310547,False,True,False,True,-1.671905517578125,3.0423736572265625
128,26367744.0,26351361.0,22.0,-58.29856872558594,-57.47132873535156,-58.67949676513672,-57.03448486328125,False,True,False,True,-0.827239990234375,1.6450119018554688
129,26351361.0,26351360.0,59.0,-47.220428466796875,-54.59552764892578,-47.87916564941406,-54.17405700683594,True,False,False,False,7.375099182128906,-6.294891357421875
130,26351360.0,26351362.0,17.0,-56.49018859863281,-53.492042541503906,-56.954315185546875,-52.933799743652344,False,True,False,True,-2.9981460571289062,4.020515441894531
131,26368257.0,26368258.0,121.0,-54.97392272949219,-54.51531982421875,-55.446022033691406,-54.07208251953125,False,True,False,True,-0.4586029052734375,1.3739395141601562
