_row,cell_id,new_split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,wcl_lat,wcl_lon
116127,2580501.0,train,-113.301875,-65.57194519042969,501.1997670119949,2000.0,52.51120038191861,13.301164524543731
116129,2580501.0,train,-112.66625,-65.37590789794922,488.501123415959,2000.0,52.51120038191861,13.301164524543731
116135,2580501.0,train,-109.7375,-65.17143249511719,475.5578733039337,2000.0,52.51120038191861,13.301164524543731
116137,2580501.0,train,-107.761875,-64.96151733398438,462.61463449364555,2000.0,52.51120038191861,13.301164524543731
116141,2580501.0,train,-108.0075,-64.74456787109375,449.579683789568,2000.0,52.51120038191861,13.301164524543731
116146,2580501.0,train,-109.449375,-64.5230712890625,436.6364423491293,2000.0,52.51120038191861,13.301164524543731
116149,2580501.0,train,-106.335,-64.29663848876953,423.7341188946982,2000.0,52.51120038191861,13.301164524543731
116154,2580501.0,train,-102.240625,-64.07108306884766,411.25977682429476,2000.0,52.51120038191861,13.301164524543731
116160,2580501.0,train,-102.35,-63.837646484375,398.6940249705332,2000.0,52.51120038191861,13.301164524543731
116164,2580501.0,train,-101.305625,-63.59712219238281,386.1076940363337,2000.0,52.51120038191861,13.301164524543731
116166,2580501.0,train,-98.50125,-63.34629821777344,373.38855217390045,2000.0,52.51120038191861,13.301164524543731
116171,2580501.0,train,-97.9075,-63.08826446533203,360.7109976753157,2000.0,52.51120038191861,13.301164524543731
116173,2580501.0,train,-97.93875,-62.82598876953125,348.23686297715216,2000.0,52.51120038191861,13.301164524543731
116177,2580501.0,train,-98.93125,-62.55455780029297,335.7627678281096,2000.0,52.51120038191861,13.301164524543731
116183,2580501.0,train,-99.224375,-62.27397918701172,323.2887164264234,2000.0,52.51120038191861,13.301164524543731
116185,2580501.0,train,-99.51,-61.98474884033203,310.90569394492644,2000.0,52.51120038191861,13.301164524543731
116192,2580501.0,train,-98.20625,-61.679649353027344,298.31960774047946,2000.0,52.51120038191861,13.301164524543731
116199,2580501.0,train,-96.66625,-61.022071838378906,272.81151068181515,2000.0,52.51120038191861,13.301164524543731
116201,2580501.0,train,-95.6525,-60.669036865234375,260.0016027976619,2000.0,52.51120038191861,13.301164524543731
