_row,operator,device,cell_id,split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,gap_type,tower_lat,tower_lon,position_source,sionna_power_cal,residual_cal
48646,1,pc4,33802242.0,val,-95.984375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.14771155359405
48649,1,pc4,33802242.0,val,-95.9675,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.130836553594051
48653,1,pc4,33802242.0,val,-95.779375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.942711553594052
48656,1,pc4,33802242.0,val,-95.78625,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.949586553594045
48662,1,pc4,33802242.0,val,-95.8325,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.995836553594046
48663,1,pc4,33802242.0,val,-95.41,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.5733365535940464
48669,1,pc4,33802242.0,val,-95.62375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.787086553594051
48674,1,pc4,33802242.0,val,-96.08875,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.252086553594054
48676,1,pc4,33802242.0,val,-95.69375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.857086553594044
48682,1,pc4,33802242.0,val,-95.813125,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.976461553594049
48685,1,pc4,33802242.0,val,-96.158125,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.321461553594048
