_row,operator,device,near_typeb,dist_to_typeb_m,sionna_cal_pt,measured_rsrp
46009,1,pc1,False,2972.309216917842,-75.95065652229457,-76.20668316831683
46011,1,pc4,False,2896.4970935720958,-84.42232858040005,-89.134375
46013,1,pc1,False,2964.0329847616845,-77.28551827766567,-73.87247474747475
46016,1,pc4,False,2888.9432644002927,-84.97013436653286,-89.51375
46018,1,pc1,False,2955.907009900735,-78.43966256477505,-77.306875
46020,1,pc4,False,2881.306442125427,-85.51252328254849,-87.34125
46022,1,pc1,False,2948.12835201964,-79.46000253059536,-76.25125
46024,1,pc1,False,2941.1149870082104,-80.28516732551724,-77.301875
46025,1,pc4,False,2874.40847922473,-85.98302041389614,-89.4375
46027,1,pc1,False,2933.9940073934536,-81.0858417639938,-79.6025
46028,1,pc4,False,2867.648921325451,-86.39496957161099,-94.4475
46031,1,pc1,False,2926.947680273837,-81.83054696418911,-80.6625
46033,1,pc4,False,2860.6443861429116,-86.80860482551724,-95.098125
46035,1,pc4,False,2853.027088083416,-87.25360452034145,-93.885625
46037,1,pc1,False,2919.6567278939656,-82.53565560676724,-82.175
46039,1,pc4,False,2844.699543565567,-87.71644936897427,-92.403125
46041,1,pc1,False,2912.444098761974,-83.19634591438442,-79.101875
46044,1,pc1,False,2905.375184004961,-83.7951923499313,-80.14375
46045,1,pc4,False,2837.8952631528387,-88.07223855354457,-91.738125
46049,1,pc4,False,2830.652911514968,-88.4513202796188,-88.778125
46050,1,pc1,False,2898.1142328982564,-84.37499581672817,-81.53625
46051,1,pc4,False,2823.7139062094097,-88.80730019905239,-90.475
46054,1,pc1,False,2890.234220962031,-84.9450718054977,-80.993125
46055,1,pc4,False,2816.217209957974,-89.1603046546188,-90.73125
46057,1,pc1,False,2882.5461957618877,-85.48405038215786,-82.874375
46059,1,pc4,False,2809.12112831572,-89.48365365364224,-93.805
46061,1,pc1,False,2875.54364177112,-85.93468819954067,-89.555
46063,1,pc1,False,2868.296306255531,-86.38454018928677,-91.628125
46064,1,pc4,False,2801.7193707065844,-89.7912632117477,-95.054375
46068,1,pc1,False,2860.701097572359,-86.83423959114224,-91.104375
46069,1,pc4,False,2794.229986652079,-90.1158939490524,-97.611875
46073,1,pc1,False,2849.771168544913,-87.45542489387661,-89.684375
46074,1,pc4,False,2787.3431655098825,-90.40530740120084,-98.37
46076,1,pc1,False,2841.8872837344284,-87.88351022102505,-87.315625
46077,1,pc4,False,2780.2410648040022,-90.69837533332974,-100.945
46079,1,pc4,False,2773.981373682486,-90.94726144172816,-103.19125
46082,1,pc1,False,2834.2586215727083,-88.28901254036099,-83.63125
46083,1,pc4,False,2767.768910919504,-91.1958042273727,-105.48125
46086,1,pc1,False,2826.987350772805,-88.66411935188442,-84.834375
46087,1,pc1,False,2819.9532656406413,-89.00470315315395,-85.381875
46091,1,pc1,False,2812.3788346437063,-89.35924874641567,-88.44625
46096,1,pc1,False,2804.63682092605,-89.71003304817349,-88.5425
46100,1,pc1,False,2796.8751760371565,-90.04413186409145,-93.25
46106,1,pc1,False,2788.8555223843946,-90.38345681526332,-94.5475
46109,1,pc1,False,2780.944420633074,-90.713084805986,-96.1075
46112,1,pc1,False,2773.09912768627,-91.03742562629849,-97.726875
46117,1,pc1,False,2765.3115763891074,-91.33358346321256,-99.966875
102244,1,pc1,False,3205.892750162826,-89.94793282844692,-86.476875
102247,1,pc1,False,3197.705603277564,-89.6803012976852,-86.865625
102250,1,pc1,False,3189.863109724385,-89.40182076790005,-85.79625
102255,1,pc1,False,3182.4463992560823,-89.11655770637661,-85.5425
102260,1,pc1,False,3175.35466337303,-88.82348214485317,-85.02625
102264,1,pc1,False,3168.433705275578,-88.51105080940395,-83.526875
102269,1,pc1,False,3161.7127390802752,-88.17219125129849,-82.2
102271,1,pc1,False,3154.9417563716584,-87.79170571663052,-80.171875
102274,1,pc1,False,3148.385287880616,-87.37750588752895,-82.0
102281,1,pc1,False,3141.995530668363,-86.93744241096645,-81.358125
102283,1,pc1,False,3135.8320379406614,-86.45606576301724,-80.501875
102288,1,pc1,False,3129.8444735512235,-85.94115792610317,-79.645625
102292,1,pc1,False,3123.9625140887933,-85.38078652717739,-79.254375
102296,1,pc1,False,3118.233560645893,-84.78416787483364,-79.4725
102300,1,pc1,False,3112.3379883875136,-84.11895333625942,-77.699375
102305,1,pc1,False,3106.464190282419,-83.41022836067349,-77.354375
102309,1,pc1,False,3100.226279235256,-82.6372104773727,-78.299375
102313,1,pc1,False,3093.796954392185,-81.79993783332974,-76.6575
102315,1,pc1,False,3086.8943347608415,-80.87120400764614,-76.559375
102319,1,pc1,False,3079.6209931945837,-79.83166085579067,-79.668125
102322,1,pc1,False,3071.938440078157,-78.66704140998989,-81.224375
102329,1,pc1,False,3064.052811561687,-77.35295449592739,-87.635
102330,1,pc1,False,3055.6838886777814,-75.82782327034145,-98.225
102334,1,pc1,False,3047.0797159180725,-74.03048287727505,-95.426875
102340,1,pc1,False,3038.2927018108016,-72.04317818977505,-91.364375
102344,1,pc1,False,3029.592697794292,-70.42439614631802,-88.466875
102348,1,pc1,False,3020.8401631673064,-69.03387795784145,-84.32375
102352,1,pc1,False,3012.1154636561882,-68.79806100227505,-80.074375
102357,1,pc1,False,3003.940819693697,-69.65287362434536,-78.279375
102358,1,pc1,False,2996.481304764344,-70.9770771155563,-75.956875
102363,1,pc1,False,2989.6313492911836,-72.36959420540005,-74.075
102367,1,pc1,False,2983.347578348187,-73.65063058235317,-72.785625
102371,1,pc1,False,2977.3099711611617,-74.8020282874313,-74.898125
102375,1,pc1,False,2971.2420760752484,-75.85259591438442,-77.3875
102378,1,pc1,False,2965.58480737029,-76.75312386848599,-74.301875
102385,1,pc1,False,2960.0161268976967,-77.54349862434536,-73.77
102388,1,pc1,False,2954.7766522055877,-78.26047860481411,-76.698125
102390,1,pc1,False,2949.7143383408193,-78.91070901252895,-74.751875
102395,1,pc1,False,2944.9953890388156,-79.48512612678677,-74.33875
102400,1,pc1,False,2940.6652245075516,-80.00182687141567,-75.2075
102404,1,pc1,False,2935.8691697337545,-80.50040780403286,-75.820625
102409,1,pc1,False,2931.8522514666274,-80.90967904426724,-76.344375
102412,1,pc1,False,2928.0549214112048,-81.29425393440395,-78.340625
102415,1,pc1,False,2924.4294692930707,-81.64958535530239,-77.5475
102418,1,pc1,False,2921.2480027748807,-81.96146737434536,-74.268125
102424,1,pc1,False,2918.081431735367,-82.2468296179977,-77.60125
102428,1,pc1,False,2915.1425485191617,-82.50175820686489,-78.85625
102430,1,pc1,False,2912.1580147873556,-82.74310647346645,-77.63125
102435,1,pc1,False,2909.283553114988,-82.97516976692349,-80.38
102438,1,pc1,False,2906.626461419387,-83.19562112190395,-77.1875
102443,1,pc1,False,2904.0221917942786,-83.41668282844692,-77.02125
102446,1,pc1,False,2901.421548103776,-83.63254128791958,-77.921875
102450,1,pc1,False,2898.881702632305,-83.83510171272427,-79.069375
102457,1,pc1,False,2896.6737601911364,-84.01180611946255,-77.365
102460,1,pc1,False,2894.3611480374816,-84.18766366340786,-78.176875
102464,1,pc1,False,2892.1585658149424,-84.35768472053677,-79.498125
102469,1,pc1,False,2889.636402226302,-84.53181039192349,-80.655
102471,1,pc1,False,2886.9529683042783,-84.71252023079067,-80.6725
102477,1,pc1,False,2884.4311860157104,-84.89242135383755,-80.0175
102480,1,pc1,False,2883.1515494250248,-85.03677712776332,-80.406875
102484,1,pc1,False,2880.6327211452362,-85.22259866096645,-80.541875
102488,1,pc1,False,2878.065994628507,-85.3997837195602,-79.938125
102493,1,pc1,False,2875.6106496512916,-85.57144509651332,-79.721875
102496,1,pc1,False,2873.3770479803043,-85.72428475715786,-81.851875
102500,1,pc1,False,2870.124300876314,-85.8878437171188,-80.45625
102505,1,pc1,False,2866.4919707509475,-86.08311807014614,-86.409375
102509,1,pc1,False,2863.7246533953894,-86.26964913704067,-88.695
102510,1,pc1,False,2859.5601583588395,-86.48731576301724,-91.66375
102517,1,pc1,False,2855.4009163845467,-86.72039376594692,-92.385625
102518,1,pc1,False,2851.8442965021454,-86.9529071936813,-92.06625
102523,1,pc1,False,2848.191747724769,-87.19119607307582,-92.17625
102526,1,pc1,False,2845.8991542129115,-87.38856088020474,-91.80625
102532,1,pc1,False,2842.2179450835574,-87.62157021858364,-90.209375
