tower_lat,tower_lon,weighted_spread_m,n_localization_rows,operator,PCell_MCC,PCell_MNC,PCell_TAC,PCell_Cell_Identity,n_validation_rows
52.49993435147093,13.32304718867505,35.1,514,1,262.0,1.0,1493.0,26351361.0,314
52.499595364470686,13.317152895975687,28.1,383,1,262.0,1.0,1493.0,26351362.0,250
52.49993255347075,13.322895107972581,41.3,9,1,262.0,1.0,1493.0,26351364.0,14
52.49955104279821,13.31704444032705,13.8,46,1,262.0,1.0,1493.0,26351365.0,30
52.51146314176089,13.305166031976594,6.2,15,1,262.0,1.0,1493.0,26353152.0,7
52.51187239967197,13.311323414409006,27.3,113,1,262.0,1.0,1493.0,26363649.0,73
52.51169131429441,13.308555086728614,41.5,546,1,262.0,1.0,1493.0,26363650.0,371
52.511868373645974,13.311398862425856,25.0,14,1,262.0,1.0,1493.0,26363652.0,14
52.51168646195811,13.308746463391365,49.5,58,1,262.0,1.0,1493.0,26363653.0,40
52.51120411351449,13.30122843640101,100.1,1225,1,262.0,1.0,1493.0,26365185.0,792
52.51080540191488,13.29539094809852,109.2,990,1,262.0,1.0,1493.0,26365186.0,627
52.51115499231451,13.300752255452483,95.1,73,1,262.0,1.0,1493.0,26365188.0,45
52.510747807808016,13.29462771909403,145.7,77,1,262.0,1.0,1493.0,26365189.0,65
52.500280386011895,13.327529215933904,45.4,819,1,262.0,1.0,1493.0,26367744.0,510
52.50013815771719,13.325675115197031,11.0,43,1,262.0,1.0,1493.0,26367746.0,20
52.500275653409,13.327506809809565,38.0,23,1,262.0,1.0,1493.0,26367750.0,15
52.500156225925814,13.325591348361215,9.1,22,1,262.0,1.0,1493.0,26367752.0,20
52.49919670227143,13.315991866811725,55.6,162,1,262.0,1.0,1493.0,26368257.0,100
52.49951233232334,13.312760168948616,35.4,1717,1,262.0,1.0,1493.0,26368258.0,1134
52.498888436575,13.316442423888864,23.9,24,1,262.0,1.0,1493.0,26368260.0,18
52.50058824663898,13.33116875164777,24.8,962,1,262.0,1.0,1493.0,26795520.0,638
52.5005865139877,13.330922307645462,50.5,30,1,262.0,1.0,1493.0,26795523.0,18
52.49873311848289,13.307771630547474,52.5,2151,1,262.0,1.0,1493.0,28650241.0,1361
52.49844879278943,13.306829545933036,61.2,149,1,262.0,1.0,1493.0,28650244.0,94
52.496807050349226,13.305389075886898,27.4,114,1,262.0,1.0,1493.0,28650250.0,91
52.49476104657444,13.31320383059626,51.2,358,1,262.0,1.0,1493.0,28792065.0,199
52.49456169787821,13.308517245720221,201.3,1128,1,262.0,1.0,1493.0,28792066.0,675
52.49463847565374,13.30489359983032,67.0,98,1,262.0,1.0,1493.0,28792072.0,74
52.50354634851211,13.282160068325277,18.3,56,1,262.0,1.0,1493.0,30625794.0,33
52.496808512376305,13.305290972692886,11.7,90,1,262.0,1.0,1493.0,34768897.0,49
52.50370401167903,13.337990623255749,16.3,20,1,262.0,1.0,1494.0,26353664.0,9
52.5129917173776,13.32855675577794,6.8,87,1,262.0,1.0,1494.0,26357760.0,52
52.513003538851784,13.32941659176735,55.8,17,1,262.0,1.0,1494.0,26357763.0,22
52.5055600961514,13.34140084989352,27.4,2163,1,262.0,1.0,1494.0,26358784.0,1477
52.503859798322715,13.340028013774518,52.8,1616,1,262.0,1.0,1494.0,26358785.0,1002
52.504352472576755,13.336195395674698,8.3,280,1,262.0,1.0,1494.0,26359552.0,228
52.50380696567825,13.337876170067117,26.6,561,1,262.0,1.0,1494.0,26359553.0,394
52.50435943418414,13.335747188295999,15.4,1276,1,262.0,1.0,1494.0,26359554.0,813
52.51628856067704,13.32576981836508,16.9,33,1,262.0,1.0,1494.0,26360321.0,18
52.51680238856403,13.32441995460722,21.1,28,1,262.0,1.0,1494.0,26360322.0,21
52.51632485288197,13.32597775125383,25.6,146,1,262.0,1.0,1494.0,26367488.0,110
52.51434107409998,13.328695023766281,86.1,827,1,262.0,1.0,1494.0,26367489.0,576
52.509485560264096,13.351660864761675,89.0,1931,1,262.0,1.0,1494.0,26369024.0,1346
52.50666456090465,13.345670111710534,35.3,793,1,262.0,1.0,1494.0,26369025.0,544
52.51011570811621,13.35119009402375,27.4,52,1,262.0,1.0,1494.0,26369029.0,31
52.51579132186914,13.352139563122138,41.4,35,1,262.0,1.0,1494.0,26719233.0,19
52.50429675053034,13.335781249607315,20.1,39,1,262.0,1.0,1494.0,26720001.0,16
52.502356684772614,13.333511810263957,30.2,785,1,262.0,1.0,1494.0,26720002.0,523
52.50237989599988,13.333497289459785,18.9,20,1,262.0,1.0,1494.0,26720005.0,20
